X,Y,OBJECTID,EVT_RT,EVT_RIN,EVT_DATE,LOCATION,RUCR,RUCR_EXT_D
-63.584211188537836,44.64108055129104,625,GO,868216,2017-07-21T00:00:00.000Z,SUMMER ST / SPRING GARDEN RD,1460,ASSAULT
-63.478930584786568,44.661577218558975,626,GO,867282,2017-07-15T00:00:00.000Z,BECKS WAY,2142,THEFT FROM VEHICLE
-63.587495701406112,44.678226365525674,627,GO,867102,2017-07-15T00:00:00.000Z,LAHEY RD,1430,ASSAULT
-63.469955899465234,44.704158555776729,628,GO,867089,2017-07-15T00:00:00.000Z,NEILSON DR,1460,ASSAULT
-63.580386424366118,44.682797811983434,629,GO,867077,2017-07-15T00:00:00.000Z,ALBRO LAKE RD / PINECREST DR,1430,ASSAULT
-62.398692296387331,44.903885379881011,630,GO,867244,2017-07-15T00:00:00.000Z,HIGHWAY 7,2135,THEFT OF VEHICLE
-63.574821088093152,44.648706898362157,631,GO,867047,2017-07-15T00:00:00.000Z,BARRINGTON ST,1610,ROBBERY
-63.566353379578828,44.665862909946988,632,GO,867101,2017-07-15T00:00:00.000Z,PORTLAND ST,1430,ASSAULT
-63.613135844741841,44.605309276510823,633,GO,867091,2017-07-15T00:00:00.000Z,HERRING COVE RD,1430,ASSAULT
-63.69001659616292,44.774140621259228,634,GO,867064,2017-07-15T00:00:00.000Z,OLD BEAVER BANK RD,1430,ASSAULT
-63.676737372646301,44.685990013471695,635,GO,867109,2017-07-15T00:00:00.000Z,KEARNEY LAKE RD,2142,THEFT FROM VEHICLE
-63.592579482296294,44.680003494548323,636,GO,867097,2017-07-15T00:00:00.000Z,SPRINGHILL RD,1420,ASSAULT
-63.612784637601727,44.650554512922696,637,GO,866979,2017-07-15T00:00:00.000Z,CORK ST / CONNAUGHT AVE,2120,BREAK AND ENTER
